Nama Subtes;Kode Soal;Tipe Soal;Teks Soal;Gambar Soal (nama file) (opsional);Opsi A - Teks;Opsi A - Gambar (opsional);Opsi B - Teks;Opsi B - Gambar (opsional);Opsi C - Teks;Opsi C - Gambar (opsional);Opsi D - Teks;Opsi D - Gambar (opsional);Opsi E - Teks (opsional);Opsi E - Gambar (opsional);Kunci Jawaban;Hint (opsional);Pembahasan;Tingkat Kesulitan
;PK-001;Pilihan Ganda Tunggal;Jika 3x - 5 = 16, maka nilai dari 2x + 1 adalah...;;13;;14;;15;;16;;17;;C;Cari x dulu dari persamaan;3x - 5 = 16 -> 3x = 21 -> x = 7. Maka 2x + 1 = 2(7) + 1 = 15.;Mudah
;PK-001;Pilihan Ganda Singkat;Manakah bilangan berikut yang merupakan kelipatan 3 tetapi bukan kelipatan 5?;;12345;;13689;;14670;;15223;;20579;;B;Gunakan aturan habis dibagi 3 dan aturan habis dibagi 5.;Jumlah digit 13689 adalah 27 sehingga habis dibagi 3. Digit terakhirnya 9, jadi tidak habis dibagi 5. Pilihan lain tidak memenuhi kedua syarat sekaligus.;Mudah
;PK-002;Pilihan Ganda Singkat;Kurva y = ax² + 2x + 1 dengan a ? 0 memotong sumbu-x pada dua titik berbeda. Kondisi yang harus dipenuhi oleh a adalah ...;;a < 1;;6a < 1;;a > 1;;3a > 1;;3a > 2;;A;Gunakan syarat diskriminan positif untuk dua akar real berbeda.;Agar memotong sumbu-x di dua titik berbeda, diskriminan harus positif: D = 2² - 4(a)(1) > 0. Jadi 4 - 4a > 0, sehingga a < 1.;Sedang
;PK-003;Pilihan Ganda Singkat;Kurva y = ax² + 2x + 1, dengan a ? 0, diketahui memotong sumbu-x pada dua titik berbeda. Pernyataan yang selalu benar adalah ...;;Kurva membuka ke atas;;Kurva membuka ke bawah;;Kurva memotong sumbu-y pada bagian positif;;Kurva memotong sumbu-y pada bagian negatif;;Titik puncak selalu berada di kuadran I;;C;Perhatikan nilai fungsi ketika x = 0.;Saat x = 0 diperoleh y = 1, sehingga titik potong dengan sumbu-y adalah (0,1), yaitu pada bagian positif. Arah buka dan posisi titik puncak bergantung pada nilai a.;Sedang
;PK-004;Pilihan Ganda Singkat;Diberikan dua garis 2x + y = 4 dan x + 2y = 2. Dari garis berikut: (1) y = -x + 5, (2) y = x - 2, (3) y = 3x - 1, (4) y = -2x + 7, manakah yang memotong kedua garis awal pada dua titik yang berbeda?;;(1), (2), dan (3);;(1) dan (3);;(2) dan (4);;Hanya (4);;Semua;;B;Bandingkan gradien, lalu cek apakah garis tambahan melalui titik potong kedua garis awal.;Gradien dua garis awal adalah -2 dan -1/2, dengan titik potong (2,0). Garis (1) dan (3) memiliki gradien berbeda dari keduanya dan tidak melalui (2,0). Garis (2) melalui (2,0), sedangkan garis (4) sejajar dengan garis pertama.;Sulit
;PK-005;Pilihan Ganda Singkat;"Untuk data 3, 5, 7, dan a, tentukan banyak pernyataan yang benar: (1) rata-rata = 6 jika a = 9; (2) median = 5 jika a = 7; (3) jangkauan = 4 jika a = 6; (4) modus = 3 jika a = 5.";;0;;1;;2;;3;;4;;C;Uji setiap pernyataan secara terpisah.;(1) benar karena (3+5+7+9)/4 = 6. (2) salah karena median data 3,5,7,7 adalah 6. (3) benar karena jangkauannya 7-3 = 4. (4) salah karena jika a = 5, modusnya 5. Jadi ada 2 pernyataan benar.;Sedang
;PK-006;;Sebuah kotak berisi 3 bola merah dan 2 bola putih. Tiga bola diambil sekaligus. Misalkan P adalah peluang terambil tepat 2 bola merah dan 1 bola putih, sedangkan Q = 3/10. Hubungan yang benar adalah ...;;P > Q;;Q > P;;P = Q;;Hubungan P dan Q tidak dapat ditentukan;;;;A;Hitung peluang dengan kombinasi.;Banyak cara memilih 3 dari 5 bola adalah C(5,3)=10. Kejadian yang diinginkan ada C(3,2)×C(2,1)=6 cara, sehingga P=6/10=3/5. Karena 3/5 > 3/10, maka P > Q.;Sedang
;PK-007;;Bilangan real x memenuhi 2x + 1 < 4. Didefinisikan P = -2x dan Q = 2. Hubungan P dan Q adalah ...;;P > Q;;Q > P;;P = Q;;Hubungan P dan Q tidak dapat ditentukan;;;;D;Tentukan rentang x terlebih dahulu, lalu uji beberapa nilai yang memenuhi.;Dari 2x+1<4 diperoleh x<3/2. Dalam rentang ini P=-2x dapat lebih besar, sama, atau lebih kecil dari 2 tergantung nilai x. Karena itu hubungan P dan Q tidak dapat ditentukan.;Sedang
;PK-008;;"Pada kubus ABCD.EFGH, titik P berada pada AB dengan PA:PB = 1:2. Titik Q berada pada BC dan memenuhi BQ:QP = 1:1. Tinjau pernyataan: (1) volume limas PBQ.F dibanding volume kubus = 1:18; (2) luas segitiga PBQ dibanding luas persegi ABCD = 1:6; (3) PQ:AC = 1:?2. Pilihan yang benar adalah ...";;Semua pernyataan benar;;Hanya (1) dan (2) benar;;Hanya (2) dan (3) benar;;Hanya (3) benar;;Tidak ada yang benar;;B;Ambil panjang rusuk kubus yang mudah, misalnya 6, lalu hitung PB, BQ, luas, volume, dan diagonal sisi.;Jika rusuk kubus 6, maka PB = 4. Dari BQ = QP dan segitiga PBQ siku-siku diperoleh BQ = 3 dan PQ = 5. Luas PBQ = 1/2×4×3 = 6, sedangkan luas ABCD = 36, sehingga rasionya 1:6. Volume limas = 1/3×6×6 = 12 dan volume kubus = 216, sehingga rasionya 1:18. Sementara PQ:AC = 5:6?2, bukan 1:?2.;Sulit
;PK-009;;Pada segitiga ABC diketahui ?B = 30°. Apakah segitiga ABC siku-siku? (1) ?A - ?C = 20°. (2) ?C < ?A. Tentukan kecukupan informasi kedua pernyataan.;;Pernyataan (1) saja cukup, tetapi (2) saja tidak cukup;;Pernyataan (2) saja cukup, tetapi (1) saja tidak cukup;;Keduanya bersama-sama cukup, tetapi masing-masing saja tidak cukup;;Masing-masing pernyataan sendiri cukup;;Keduanya tidak cukup;;A;Gunakan ?A + ?C = 150° karena ?B = 30°.;Dari (1), A+C=150° dan A-C=20°, sehingga A=85° dan C=65°. Segitiga jelas bukan siku-siku, jadi (1) cukup. Pernyataan (2) hanya memberi C<A dan masih memungkinkan banyak pasangan sudut, sehingga tidak cukup.;Sulit
